"interaction_name","ligand_type","interaction_type","lig_contributor","receptor_subunit","lig_contributor_group","lig_contributor_coeff","receptor_subunit_group","receptor_subunit_coeff"
"Epi_Adrb1","Neurotransmitter","ligand-receptor","Th;Ddc;Dbh;Pnmt;Slc18a1;Slc18a2","Adrb1","1;2;3;4;5;5","1;1;1;1;1","1","1"
"Epi_Adrb2","Neurotransmitter","ligand-receptor","Th;Ddc;Dbh;Pnmt;Slc18a1;Slc18a2","Adrb2","1;2;3;4;5;5","1;1;1;1;1","1","1"
"Epi_Adrb3","Neurotransmitter","ligand-receptor","Th;Ddc;Dbh;Pnmt;Slc18a1;Slc18a2","Adrb3","1;2;3;4;5;5","1;1;1;1;1","1","1"
"NE_Adra1a","Neurotransmitter","ligand-receptor","Th;Ddc;Dbh;Slc18a1;Slc18a2","Adra1a","1;2;3;4;4","1;1;1;1","1","1"
"NE_Adra1b","Neurotransmitter","ligand-receptor","Th;Ddc;Dbh;Slc18a1;Slc18a2","Adra1b","1;2;3;4;4","1;1;1;1","1","1"
"NE_Adra1d","Neurotransmitter","ligand-receptor","Th;Ddc;Dbh;Slc18a1;Slc18a2","Adra1d","1;2;3;4;4","1;1;1;1","1","1"
"NE_Adra2a","Neurotransmitter","ligand-receptor","Th;Ddc;Dbh;Slc18a1;Slc18a2","Adra2a","1;2;3;4;4","1;1;1;1","1","1"
"NE_Adra2b","Neurotransmitter","ligand-receptor","Th;Ddc;Dbh;Slc18a1;Slc18a2","Adra2b","1;2;3;4;4","1;1;1;1","1","1"
"NE_Adra2c","Neurotransmitter","ligand-receptor","Th;Ddc;Dbh;Slc18a1;Slc18a2","Adra2c","1;2;3;4;4","1;1;1;1","1","1"
"NE_Adrb1","Neurotransmitter","ligand-receptor","Th;Ddc;Dbh;Slc18a1;Slc18a2","Adrb1","1;2;3;4;4","1;1;1;1","1","1"
"NE_Adrb2","Neurotransmitter","ligand-receptor","Th;Ddc;Dbh;Slc18a1;Slc18a2","Adrb2","1;2;3;4;4","1;1;1;1","1","1"
"NE_Adrb3","Neurotransmitter","ligand-receptor","Th;Ddc;Dbh;Slc18a1;Slc18a2","Adrb3","1;2;3;4;4","1;1;1;1","1","1"
"NE_Slc6a2","Neurotransmitter","ligand uptake","Th;Ddc;Dbh;Slc18a1;Slc18a2","Slc6a2","1;2;3;4;4","1;1;1;1","1","1"
"NE_Comt","Neurotransmitter","ligand degradation","Th;Ddc;Dbh;Slc18a1;Slc18a2","Comt","1;2;3;4;4","1;1;1;1","1","1"
"CO_Gucy1b1","Gas","gas-effector","Hmox1;Hmox2","Gucy1b1","1;1","1","1","1"
"CO_Gucy1b2","Gas","gas-effector","Hmox1;Hmox2","Gucy1b2","1;1","1","1","1"
"CO_Gucy1a1","Gas","gas-effector","Hmox1;Hmox2","Gucy1a1","1;1","1","1","1"
"CO_Gucy1a2","Gas","gas-effector","Hmox1;Hmox2","Gucy1a2","1;1","1","1","1"
"NO_Gucy1b1","Gas","gas-effector","Nos1;Nos2;Nos3","Gucy1b1","1;1;1","1","1","1"
"NO_Gucy1b2","Gas","gas-effector","Nos1;Nos2;Nos3","Gucy1b2","1;1;1","1","1","1"
"NO_Gucy1a1","Gas","gas-effector","Nos1;Nos2;Nos3","Gucy1a1","1;1;1","1","1","1"
"NO_Gucy1a2","Gas","gas-effector","Nos1;Nos2;Nos3","Gucy1a2","1;1;1","1","1","1"
"Nrxn2_Nlgn1","Synaptic adhesion molecule","ligand-receptor","Nrxn2","Nlgn1","1","1","1","1"
"Nrxn3_Nlgn1","Synaptic adhesion molecule","ligand-receptor","Nrxn3","Nlgn1","1","1","1","1"
"Nrxn1_Nlgn2","Synaptic adhesion molecule","ligand-receptor","Nrxn1","Nlgn2","1","1","1","1"
"Nrxn3_Nlgn2","Synaptic adhesion molecule","ligand-receptor","Nrxn3","Nlgn2","1","1","1","1"
"Nrxn1_Nlgn3","Synaptic adhesion molecule","ligand-receptor","Nrxn1","Nlgn3","1","1","1","1"
"Nrxn2_Nlgn3","Synaptic adhesion molecule","ligand-receptor","Nrxn2","Nlgn3","1","1","1","1"
