,metab_num,HMDB_ID,PubChem,KEGG,SMILES
139,2317,HMDB0000158,6057,C00082,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O
140,2318,HMDB0000056,239,C00099,NCCC(O)=O
141,2319,HMDB0002100,4671,C16512,CCCCCCCCCCCCCCCC(=O)NCCO
142,2320,HMDB0000902,5892,C00003,NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O
143,2321,HMDB0001381,445049,C00427,CCCCC[C@H](O)\C=C\[C@H]1[C@H]2C[C@H](OO2)[C@@H]1C\C=C/CCCC(O)=O
144,2322,HMDB0000653,65076,C18043,[H][C@@]12CC[C@H]([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@H](CC[C@]12C)OS(O)(=O)=O
145,2323,HMDB0003000,446925,C05432,CC(C)=CCC\C(C)=C\C=C\C(\C)=C\C=C\C(\C)=C\C=C\C=C(/C)\C=C\C=C(/C)\C=C\C=C(/C)CCC=C(C)C
146,2324,HMDB0000122,5793,C00031,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
147,2325,HMDB0000929,6305,C00078,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O
148,2326,HMDB0002183,445580,C06429,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O
149,2327,HMDB0004670,5312830,C14767,CCCCC\C=C/C=C/[C@@H](O)CCCCCCCC(O)=O
150,2328,HMDB0000826,13849,C16537,CCCCCCCCCCCCCCC(O)=O
151,2329,HMDB0000034,190,C00147,NC1=C2NC=NC2=NC=N1
152,2330,HMDB0000214,6262,C00077,NCCC[C@H](N)C(O)=O
153,2331,HMDB0000182,5962,C00047,NCCCC[C@H](N)C(O)=O
154,2332,HMDB0000946,31401,C07880,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O
155,2333,HMDB0000405,66414,C05302,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C(OC)=C3
