"Ligand","Receptor","Annotation","Reference"
"Adm","Mrgprx1","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adm","Mrgprb4","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adm","Mrgprb5","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adm","Mrgprb2","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adm","Mrgpra4","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adm","Mrgpra6","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adm","Mrgprb8","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adm","Mrgpra3","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adm","Mrgprb3","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adm","Mrgprb1","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adm","Ramp1","Secreted Signaling","NicheNet_v2_omnipath"
"Adm","Ramp2","Secreted Signaling","NicheNet_v2_omnipath"
"Adm","Ramp3","Secreted Signaling","NicheNet_v2_omnipath"
"Adm2","Adcyap1r1","Secreted Signaling","NicheNet_v2_omnipath"
"Adm2","Adrb2","Secreted Signaling","NicheNet_v2_omnipath"
"Adm2","Adrb3","Secreted Signaling","NicheNet_v2_omnipath"
"Adm2","Calcr","Secreted Signaling","NicheNet_v2_omnipath"
"Adm2","Calcrl","Secreted Signaling","NicheNet_v2_omnipath"
"Adm2","Gpr20","Secreted Signaling","NicheNet_v2_omnipath"
"Adm2","Gpr84","Secreted Signaling","NicheNet_v2_omnipath"
"Adm2","Pth1r","Secreted Signaling","NicheNet_v2_omnipath"
"Adm2","Ramp1","Secreted Signaling","NicheNet_v2_omnipath"
"Adm2","Ramp2","Secreted Signaling","NicheNet_v2_omnipath"
"Adm2","Ramp3","Secreted Signaling","NicheNet_v2_omnipath"
"Adm2","Tshr","Secreted Signaling","NicheNet_v2_omnipath"
"Adm2","Vipr1","Secreted Signaling","NicheNet_v2_omnipath"
"Agrn","Atp1a3","Secreted Signaling","NicheNet_v2_omnipath"
"Agrn","Chrnb3","Secreted Signaling","NicheNet_v2_omnipath"
"Agrn","Dag1","Secreted Signaling","NicheNet_v2_omnipath"
"Agrn","Itgb1","Secreted Signaling","NicheNet_v2_omnipath"
"Agrn","Lrp1","Secreted Signaling","NicheNet_v2_omnipath"
"Agrn","Lrp2","Secreted Signaling","NicheNet_v2_omnipath"
"Agrn","Lrp4","Secreted Signaling","NicheNet_v2_omnipath"
"Agrn","Musk","Secreted Signaling","NicheNet_v2_omnipath"
"Agrp","Mc3r","Secreted Signaling","NicheNet_v2_omnipath"
"Agrp","Mc4r","Secreted Signaling","NicheNet_v2_omnipath"
"Agrp","Mc5r","Secreted Signaling","NicheNet_v2_omnipath"
"Agrp","Sdc3","Secreted Signaling","NicheNet_v2_omnipath"
"Agt","Agtr1a","Secreted Signaling","NicheNet_v2_omnipath"
"Agt","Agtr1b","Secreted Signaling","NicheNet_v2_omnipath"
"Agt","Agtr2","Secreted Signaling","NicheNet_v2_omnipath"
"Agt","Lrp2","Secreted Signaling","NicheNet_v2_omnipath"
"Agt","Mas1","Secreted Signaling","NicheNet_v2_omnipath"
"Agt","Ren1","Secreted Signaling","NicheNet_v2_omnipath"
"Ahsg","Insr","Secreted Signaling","NicheNet_v2_omnipath"
"Aimp1","Ntrk1","Secreted Signaling","NicheNet_v2_omnipath"
"Alb","Lrp2","Secreted Signaling","NicheNet_v2_omnipath"
"Alcam","Alcam","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Alcam","Cd6","Secreted Signaling","NicheNet_v2_omnipath"
"Alcam","Chl1","Secreted Signaling","NicheNet_v2_omnipath"
"Alcam","Nrp1","Secreted Signaling","NicheNet_v2_omnipath"
"Alkal1","Alk","Secreted Signaling","NicheNet_v2_omnipath"
"Alkal1","Ltk","Secreted Signaling","NicheNet_v2_omnipath"
"Alkal2","Alk","Secreted Signaling","NicheNet_v2_omnipath"
"Alkal2","Ltk","Secreted Signaling","NicheNet_v2_omnipath"
"Alox5ap","Alox5","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Ambn","Cd63","Secreted Signaling","NicheNet_v2_omnipath"
"Amelx","Cd63","Secreted Signaling","NicheNet_v2_omnipath"
"Amelx","Lamp1","Secreted Signaling","NicheNet_v2_omnipath"
"Amelx","Lamp2","Secreted Signaling","NicheNet_v2_omnipath"
"Amh","Acvr1","Secreted Signaling","NicheNet_v2_omnipath"
"Amh","Amhr2","Secreted Signaling","NicheNet_v2_omnipath"
"Amh","Bmpr1a","Secreted Signaling","NicheNet_v2_omnipath"
"Amh","Bmpr1b","Secreted Signaling","NicheNet_v2_omnipath"
"Amh","Egfr","Secreted Signaling","NicheNet_v2_omnipath"
"Amh","Grem2","Secreted Signaling","NicheNet_v2_omnipath"
"Ang","Egfr","Secreted Signaling","NicheNet_v2_omnipath"
"Ang","Plxnb2","Secreted Signaling","NicheNet_v2_omnipath"
"Ang2","Egfr","Secreted Signaling","NicheNet_v2_omnipath"
"Ang2","Plxnb2","Secreted Signaling","NicheNet_v2_omnipath"
"Ang4","Egfr","Secreted Signaling","NicheNet_v2_omnipath"
"Ang4","Plxnb2","Secreted Signaling","NicheNet_v2_omnipath"
"Ang5","Egfr","Secreted Signaling","NicheNet_v2_omnipath"
"Ang5","Plxnb2","Secreted Signaling","NicheNet_v2_omnipath"
"Ang6","Egfr","Secreted Signaling","NicheNet_v2_omnipath"
"Ang6","Plxnb2","Secreted Signaling","NicheNet_v2_omnipath"
"Angpt1","Itga5","Secreted Signaling","NicheNet_v2_omnipath"
"Angpt1","Itgb1","Secreted Signaling","NicheNet_v2_omnipath"
"Angpt1","Tek","Secreted Signaling","NicheNet_v2_omnipath"
"Angpt1","Tie1","Secreted Signaling","NicheNet_v2_omnipath"
"Angpt2","Itga5","Secreted Signaling","NicheNet_v2_omnipath"
"Angpt2","Itgb1","Secreted Signaling","NicheNet_v2_omnipath"
"Angpt2","Tek","Secreted Signaling","NicheNet_v2_omnipath"
"Angpt2","Tie1","Secreted Signaling","NicheNet_v2_omnipath"
"Angpt4","Tek","Secreted Signaling","NicheNet_v2_omnipath"
"Angpt4","Tie1","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl1","Itga1","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl1","Itgb1","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl1","Pira1","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl1","Pira2","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl1","Lilra6","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl1","Pira6","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl1","Pirb","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl1","Gm14548","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl1","Gm15448","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl1","Pira12","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl1","Lilra5","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl1","Pira13","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl1","Tek","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl2","Itga5","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl2","Itgb1","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl2","Pira1","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl2","Pira2","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl2","Lilra6","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl2","Pira6","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl2","Pirb","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl2","Gm14548","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl2","Gm15448","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl2","Pira12","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl2","Lilra5","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl2","Pira13","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl2","Tie1","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl2","Tlr4","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl3","Itga5","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl3","Itgav","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl3","Itgb3","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl3","Lpl","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl4","Cdh11","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl4","Cdh5","Secreted Signaling","NicheNet_v2_omnipath"
