ID	HMDB ID	Metabolite name	metName	Receptor symbol	Protein name	PMID	Other.DB	MRID
715	HMDB0000151	Estradiol	Estradiol	Gper1	G-protein coupled estrogen receptor 1	CellPhoneDB	Receptor	MRM0715
716	HMDB0000151	Estradiol	Estradiol	Nr1i2	Nuclear receptor subfamily 1 group I member 2	CellPhoneDB	Nuclear Receptor	MRM0716
717	HMDB0000253	Pregnenolone	Pregnenolone	Nr1i2	Nuclear receptor subfamily 1 group I member 2	CellPhoneDB	Nuclear Receptor	MRM0717
718	HMDB0004666	MG(0:0/20:4(5Z,8Z,11Z,14Z)/0:0)	MG(0:0/20:4(5Z,8Z,11Z,14Z)/0:0)	Cnr1	Cannabinoid receptor 1	CellPhoneDB	Receptor	MRM0718
719	HMDB0002719	Desmosterol	Desmosterol	Nr1h2	Oxysterols receptor LXR-beta	CellPhoneDB	Receptor	MRM0719
720	HMDB0002719	Desmosterol	Desmosterol	Nr1h3	Oxysterols receptor LXR-alpha	CellPhoneDB	Nuclear Receptor	MRM0720
721	HMDB0001032	Dehydroepiandrosterone sulfate	Dehydroepiandrosterone sulfate	Ppara	Peroxisome proliferator-activated receptor alpha	CellPhoneDB	Nuclear Receptor	MRM0721
722	HMDB0001032	Dehydroepiandrosterone sulfate	Dehydroepiandrosterone sulfate	Ppard	Peroxisome proliferator-activated receptor delta	CellPhoneDB	Receptor	MRM0722
723	HMDB0001032	Dehydroepiandrosterone sulfate	Dehydroepiandrosterone sulfate	Pparg	Peroxisome proliferator-activated receptor gamma	CellPhoneDB	Nuclear Receptor	MRM0723
724	HMDB0000077	Dehydroepiandrosterone	Dehydroepiandrosterone	Esr1	Estrogen receptor	CellPhoneDB	Nuclear Receptor	MRM0724
725	HMDB0000077	Dehydroepiandrosterone	Dehydroepiandrosterone	Nr1i2	Nuclear receptor subfamily 1 group I member 2	CellPhoneDB	Nuclear Receptor	MRM0725
726	HMDB0000077	Dehydroepiandrosterone	Dehydroepiandrosterone	Ppara	Peroxisome proliferator-activated receptor alpha	CellPhoneDB	Nuclear Receptor	MRM0726
727	HMDB0003759	5a-Pregnane-3,20-dione	5a-Pregnane-3,20-dione	Pgr	Progesterone receptor	CellPhoneDB	Nuclear Receptor	MRM0727
728	HMDB0003080	Leukotriene D4	Leukotriene D4	Cysltr1	Cysteinyl leukotriene receptor 1	CellPhoneDB	Receptor	MRM0728
729	HMDB0003080	Leukotriene D4	Leukotriene D4	Cysltr2	Cysteinyl leukotriene receptor 2	CellPhoneDB	Receptor	MRM0729
730	HMDB0003080	Leukotriene D4	Leukotriene D4	Gpr17	Uracil nucleotide/cysteinyl leukotriene receptor	CellPhoneDB	Receptor	MRM0730
731	HMDB0005087	6-trans-Leukotriene B4	6-trans-Leukotriene B4	Gpr17	Uracil nucleotide/cysteinyl leukotriene receptor	CellPhoneDB	Receptor	MRM0731
732	HMDB0005087	6-trans-Leukotriene B4	6-trans-Leukotriene B4	Ltb4r1	Leukotriene B4 receptor 1	CellPhoneDB	Receptor	MRM0732
733	HMDB0005087	6-trans-Leukotriene B4	6-trans-Leukotriene B4	Ltb4r2	Leukotriene B4 receptor 2	CellPhoneDB	Receptor	MRM0733
734	HMDB0004234	12-Keto-leukotriene B4	12-Keto-leukotriene B4	Ltb4r1	Leukotriene B4 receptor 1	CellPhoneDB	Receptor	MRM0734
735	HMDB0004234	12-Keto-leukotriene B4	12-Keto-leukotriene B4	Ltb4r2	Leukotriene B4 receptor 2	CellPhoneDB	Receptor	MRM0735
736	HMDB0012587	15-Epi-lipoxin A4	15-Epi-lipoxin A4	Cysltr1	Cysteinyl leukotriene receptor 1	CellPhoneDB	Receptor	MRM0736
737	HMDB0012587	15-Epi-lipoxin A4	15-Epi-lipoxin A4	Fpr-rs4	N-formyl peptide receptor 2	CellPhoneDB	Receptor	MRM0737
738	HMDB0012587	15-Epi-lipoxin A4	15-Epi-lipoxin A4	Fpr2	N-formyl peptide receptor 2	CellPhoneDB	Receptor	MRM0738
739	HMDB0012587	15-Epi-lipoxin A4	15-Epi-lipoxin A4	Fpr3	N-formyl peptide receptor 2	CellPhoneDB	Receptor	MRM0739
740	HMDB0012587	15-Epi-lipoxin A4	15-Epi-lipoxin A4	Fpr-rs3	N-formyl peptide receptor 2	CellPhoneDB	Receptor	MRM0740
741	HMDB0012587	15-Epi-lipoxin A4	15-Epi-lipoxin A4	Fpr-rs6	N-formyl peptide receptor 2	CellPhoneDB	Receptor	MRM0741
742	HMDB0001139	Prostaglandin F2a	Prostaglandin F2a	Ptgfr	Prostaglandin F2-alpha receptor	CellPhoneDB	Receptor	MRM0742
743	HMDB0001220	Prostaglandin E2	Prostaglandin E2	Ptger3	Prostaglandin E2 receptor EP3 subtype	CellPhoneDB	Receptor	MRM0743
744	HMDB0000265	Liothyronine	Liothyronine	Thra	Thyroid hormone receptor alpha	CellPhoneDB	Nuclear Receptor	MRM0744
745	HMDB0000265	Liothyronine	Liothyronine	Thrb	Thyroid hormone receptor beta	CellPhoneDB	Nuclear Receptor	MRM0745
